match_id,match,teamInnings,battingPos,batsmanName,out/not_out,runs,balls,4s,6s,SR
T203817,Super Kings Vs KKR,CSK,1,RuturajGaikwad,1,32,27,3,1,118.51
T203817,Super Kings Vs KKR,CSK,2,FafduPlessis,1,86,59,7,3,145.76
T203817,Super Kings Vs KKR,CSK,3,RobinUthappa,1,31,15,0,3,206.66
T203817,Super Kings Vs KKR,CSK,4,MoeenAli,0,37,20,2,3,185.00
T203817,Super Kings Vs KKR,KKR,1,ShubmanGill,1,51,43,6,0,118.60
T203817,Super Kings Vs KKR,KKR,2,VenkateshIyer,1,50,32,5,3,156.25
T203817,Super Kings Vs KKR,KKR,3,NitishRana,1,0,1,0,0,0.00
T203817,Super Kings Vs KKR,KKR,4,SunilNarine,1,2,2,0,0,100.00
T203817,Super Kings Vs KKR,KKR,5,EoinMorgan,1,4,8,0,0,50.00
T203817,Super Kings Vs KKR,KKR,6,DineshKarthik,1,9,7,0,1,128.57
T203817,Super Kings Vs KKR,KKR,7,ShakibAlHasan,1,0,1,0,0,0.00
T203817,Super Kings Vs KKR,KKR,8,RahulTripathi,1,2,3,0,0,66.66
T203817,Super Kings Vs KKR,KKR,9,LockieFerguson,0,18,11,1,1,163.63
T203817,Super Kings Vs KKR,KKR,10,ShivamMavi,1,20,13,1,2,153.84
T203817,Super Kings Vs KKR,KKR,11,VarunChakravarthy,0,0,0,0,0,-
T206442,Capitals Vs KKR,DC,1,PrithviShaw,1,18,12,2,1,150.00
T206442,Capitals Vs KKR,DC,2,ShikharDhawan,1,36,39,1,2,92.30
T206442,Capitals Vs KKR,DC,3,MarcusStoinis,1,18,23,1,0,78.26
T206442,Capitals Vs KKR,DC,4,ShreyasIyer,0,30,27,1,1,111.11
T206442,Capitals Vs KKR,DC,5,RishabhPant,1,6,6,1,0,100.00
T206442,Capitals Vs KKR,DC,6,ShimronHetmyer,1,17,10,0,2,170.00
T206442,Capitals Vs KKR,DC,7,AxarPatel,0,4,4,0,0,100.00
T206442,Capitals Vs KKR,KKR,1,ShubmanGill,1,46,46,1,1,100.00
T206442,Capitals Vs KKR,KKR,2,VenkateshIyer,1,55,41,4,3,134.14
T206442,Capitals Vs KKR,KKR,3,NitishRana,1,13,12,0,1,108.33
T206442,Capitals Vs KKR,KKR,4,RahulTripathi,0,12,11,0,1,109.09
T206442,Capitals Vs KKR,KKR,5,DineshKarthik,1,0,3,0,0,0.00
T206442,Capitals Vs KKR,KKR,6,EoinMorgan,1,0,3,0,0,0.00
T206442,Capitals Vs KKR,KKR,7,ShakibAlHasan,1,0,2,0,0,0.00
T206442,Capitals Vs KKR,KKR,8,SunilNarine,1,0,1,0,0,0.00
T206442,Capitals Vs KKR,KKR,9,LockieFerguson,0,0,0,0,0,-
T208597,RCB Vs KKR,RCB,1,DevduttPadikkal,1,21,18,2,0,116.66
T208597,RCB Vs KKR,RCB,2,ViratKohli,1,39,33,5,0,118.18
T208597,RCB Vs KKR,RCB,3,SrikarBharat,1,9,16,0,0,56.25
T208597,RCB Vs KKR,RCB,4,GlennMaxwell,1,15,18,1,0,83.33
T208597,RCB Vs KKR,RCB,5,ABdeVilliers,1,11,9,1,0,122.22
T208597,RCB Vs KKR,RCB,6,ShahbazAhmed,1,13,14,1,0,92.85
T208597,RCB Vs KKR,RCB,7,DanChristian,1,9,8,1,0,112.50
T208597,RCB Vs KKR,RCB,8,HarshalPatel,0,8,6,1,0,133.33
T208597,RCB Vs KKR,RCB,9,GeorgeGarton,0,0,0,0,0,-
T208597,RCB Vs KKR,KKR,1,ShubmanGill,1,29,18,4,0,161.11
T208597,RCB Vs KKR,KKR,2,VenkateshIyer,1,26,30,0,1,86.66
T208597,RCB Vs KKR,KKR,3,RahulTripathi,1,6,5,1,0,120.00
T208597,RCB Vs KKR,KKR,4,NitishRana,1,23,25,1,1,92.00
T208597,RCB Vs KKR,KKR,5,SunilNarine,1,26,15,0,3,173.33
T208597,RCB Vs KKR,KKR,6,DineshKarthik,1,10,12,1,0,83.33
T208597,RCB Vs KKR,KKR,7,EoinMorgan,0,5,7,0,0,71.42
T208597,RCB Vs KKR,KKR,8,ShakibAlHasan,0,9,6,1,0,150.00
T201819,Capitals Vs Super Kings,DC,1,PrithviShaw,1,60,34,7,3,176.47
T201819,Capitals Vs Super Kings,DC,2,ShikharDhawan,1,7,7,1,0,100.00
T201819,Capitals Vs Super Kings,DC,3,ShreyasIyer,1,1,8,0,0,12.50
T201819,Capitals Vs Super Kings,DC,4,AxarPatel,1,10,11,1,0,90.90
T201819,Capitals Vs Super Kings,DC,5,RishabhPant,0,51,35,3,2,145.71
T201819,Capitals Vs Super Kings,DC,6,ShimronHetmyer,1,37,24,3,1,154.16
T201819,Capitals Vs Super Kings,DC,7,TomCurran,0,0,1,0,0,0.00
T201819,Capitals Vs Super Kings,CSK,1,RuturajGaikwad,1,70,50,5,2,140.00
T201819,Capitals Vs Super Kings,CSK,2,FafduPlessis,1,1,2,0,0,50.00
T201819,Capitals Vs Super Kings,CSK,3,RobinUthappa,1,63,44,7,2,143.18
T201819,Capitals Vs Super Kings,CSK,4,ShardulThakur,1,0,1,0,0,0.00
T201819,Capitals Vs Super Kings,CSK,5,AmbatiRayudu,1,1,3,0,0,33.33
T201819,Capitals Vs Super Kings,CSK,6,MoeenAli,1,16,12,2,0,133.33
T201819,Capitals Vs Super Kings,CSK,7,MSDhoni,0,18,6,3,1,300.00
T201819,Capitals Vs Super Kings,CSK,8,RavindraJadeja,0,0,0,0,0,-
T205942,Capitals Vs RCB,DC,1,PrithviShaw,1,48,31,4,2,154.83
T205942,Capitals Vs RCB,DC,2,ShikharDhawan,1,43,35,3,2,122.85
T205942,Capitals Vs RCB,DC,3,RishabhPant,1,10,8,1,0,125.00
T205942,Capitals Vs RCB,DC,4,ShreyasIyer,1,18,18,1,0,100.00
T205942,Capitals Vs RCB,DC,5,ShimronHetmyer,1,29,22,2,2,131.81
T205942,Capitals Vs RCB,DC,6,RipalPatel,0,7,7,1,0,100.00
T205942,Capitals Vs RCB,RCB,1,ViratKohli,1,4,8,0,0,50.00
T205942,Capitals Vs RCB,RCB,2,DevduttPadikkal,1,0,1,0,0,0.00
T205942,Capitals Vs RCB,RCB,3,SrikarBharat,0,78,52,3,4,150.00
T205942,Capitals Vs RCB,RCB,4,ABdeVilliers,1,26,26,2,1,100.00
T205942,Capitals Vs RCB,RCB,5,GlennMaxwell,0,51,33,8,0,154.54
T201979,Mumbai Vs Sunrisers,MI,1,RohitSharma,1,18,13,3,0,138.46
T201979,Mumbai Vs Sunrisers,MI,2,IshanKishan,1,84,32,11,4,262.50
T201979,Mumbai Vs Sunrisers,MI,3,HardikPandya,1,10,8,0,1,125.00
T201979,Mumbai Vs Sunrisers,MI,4,KieronPollard,1,13,12,1,0,108.33
T201979,Mumbai Vs Sunrisers,MI,5,SuryakumarYadav,1,82,40,13,3,205.00
T201979,Mumbai Vs Sunrisers,MI,6,JamesNeesham,1,0,1,0,0,0.00
T201979,Mumbai Vs Sunrisers,MI,7,KrunalPandya,1,9,7,1,0,128.57
T201979,Mumbai Vs Sunrisers,MI,8,NathanCoulter-Nile,1,3,3,0,0,100.00
T201979,Mumbai Vs Sunrisers,MI,9,PiyushChawla,1,0,2,0,0,0.00
T201979,Mumbai Vs Sunrisers,MI,10,JaspritBumrah,0,5,2,1,0,250.00
T201979,Mumbai Vs Sunrisers,MI,11,TrentBoult,0,0,0,0,0,-
T201979,Mumbai Vs Sunrisers,SRH,1,JasonRoy,1,34,21,6,0,161.90
