match_id,match,bowlingTeam,bowlerName,overs,maiden,runs,wickets,economy,0s,4s,6s,wides,noBalls
T203817,Super Kings Vs KKR,KKR,ShakibAlHasan,3.0,0,33,0,11.0,6,2,3,0,0
T203817,Super Kings Vs KKR,KKR,ShivamMavi,4.0,0,32,1,8.0,8,1,2,0,0
T203817,Super Kings Vs KKR,KKR,LockieFerguson,4.0,0,56,0,14.0,4,7,2,2,0
T203817,Super Kings Vs KKR,KKR,VarunChakravarthy,4.0,0,38,0,9.5,5,2,2,0,1
T203817,Super Kings Vs KKR,KKR,SunilNarine,4.0,0,26,2,6.5,6,0,1,1,0
T203817,Super Kings Vs KKR,KKR,VenkateshIyer,1.0,0,5,0,5.0,2,0,0,0,0
T203817,Super Kings Vs KKR,CSK,DeepakChahar,4.0,0,32,1,8.0,10,4,1,1,0
T203817,Super Kings Vs KKR,CSK,JoshHazlewood,4.0,0,29,2,7.25,10,2,1,2,0
T203817,Super Kings Vs KKR,CSK,ShardulThakur,4.0,0,38,3,9.5,11,3,1,4,1
T203817,Super Kings Vs KKR,CSK,DwayneBravo,4.0,0,29,1,7.25,9,1,2,0,0
T203817,Super Kings Vs KKR,CSK,RavindraJadeja,4.0,0,37,2,9.25,9,3,2,1,0
T206442,Capitals Vs KKR,KKR,ShakibAlHasan,4.0,0,28,0,7.0,9,2,1,1,0
T206442,Capitals Vs KKR,KKR,LockieFerguson,4.0,0,26,1,6.5,11,1,2,0,0
T206442,Capitals Vs KKR,KKR,SunilNarine,4.0,0,27,0,6.75,9,0,2,1,0
T206442,Capitals Vs KKR,KKR,VarunChakravarthy,4.0,0,26,2,6.5,7,2,0,0,1
T206442,Capitals Vs KKR,KKR,ShivamMavi,4.0,0,27,1,6.75,9,1,1,1,0
T206442,Capitals Vs KKR,DC,AnrichNortje,4.0,0,31,2,7.75,10,2,1,1,0
T206442,Capitals Vs KKR,DC,RavichandranAshwin,3.5,0,27,2,7.04,7,1,1,1,0
T206442,Capitals Vs KKR,DC,AveshKhan,4.0,0,22,1,5.5,9,1,0,0,0
T206442,Capitals Vs KKR,DC,AxarPatel,4.0,0,32,0,8.0,8,0,3,1,0
T206442,Capitals Vs KKR,DC,KagisoRabada,4.0,0,23,2,5.75,13,1,1,2,0
T208597,RCB Vs KKR,KKR,ShakibAlHasan,4.0,0,24,0,6.0,6,2,0,0,0
T208597,RCB Vs KKR,KKR,ShivamMavi,4.0,0,36,0,9.0,8,4,0,2,2
T208597,RCB Vs KKR,KKR,VarunChakravarthy,4.0,0,20,0,5.0,7,0,0,0,0
T208597,RCB Vs KKR,KKR,LockieFerguson,4.0,0,30,2,7.5,8,4,0,1,0
T208597,RCB Vs KKR,KKR,SunilNarine,4.0,0,21,4,5.25,11,2,0,1,0
T208597,RCB Vs KKR,RCB,MohammedSiraj,4.0,0,19,2,4.75,10,1,0,0,0
T208597,RCB Vs KKR,RCB,GeorgeGarton,3.0,0,29,0,9.66,4,3,1,0,0
