team1,team2,winner,margin,matchDate,match_id,Season,Stage
CSK,KKR,CSK,27 runs,2021-10-15,T203817,2021,Final
DC,KKR,KKR,3 wickets,2021-10-13,T206442,2021,PlayOffs
RCB,KKR,KKR,4 wickets,2021-10-11,T208597,2021,PlayOffs
DC,CSK,CSK,4 wickets,2021-10-10,T201819,2021,PlayOffs
DC,RCB,RCB,7 wickets,2021-10-08,T205942,2021,League Stage
MI,SRH,MI,42 runs,2021-10-08,T201979,2021,League Stage
KKR,RR,KKR,86 runs,2021-10-07,T204179,2021,League Stage
CSK,PBKS,PBKS,6 wickets,2021-10-07,T201866,2021,League Stage
SRH,RCB,SRH,4 runs,2021-10-06,T209992,2021,League Stage
RR,MI,MI,8 wickets,2021-10-05,T205599,2021,League Stage
CSK,DC,DC,3 wickets,2021-10-04,T207682,2021,League Stage
SRH,KKR,KKR,6 wickets,2021-10-03,T207430,2021,League Stage
RCB,PBKS,RCB,6 runs,2021-10-03,T207754,2021,League Stage
CSK,RR,RR,7 wickets,2021-10-02,T205672,2021,League Stage
MI,DC,DC,4 wickets,2021-10-02,T209349,2021,League Stage
KKR,PBKS,PBKS,5 wickets,2021-10-01,T201051,2021,League Stage
SRH,CSK,CSK,6 wickets,2021-09-30,T203061,2021,League Stage
RR,RCB,RCB,7 wickets,2021-09-29,T204742,2021,League Stage
PBKS,MI,MI,6 wickets,2021-09-28,T208262,2021,League Stage
DC,KKR,KKR,3 wickets,2021-09-28,T206700,2021,League Stage
RR,SRH,SRH,7 wickets,2021-09-27,T206862,2021,League Stage
RCB,MI,RCB,54 runs,2021-09-26,T203043,2021,League Stage
KKR,CSK,CSK,2 wickets,2021-09-26,T202406,2021,League Stage
PBKS,SRH,PBKS,5 runs,2021-09-25,T203188,2021,League Stage
DC,RR,DC,33 runs,2021-09-25,T202046,2021,League Stage
RCB,CSK,CSK,6 wickets,2021-09-24,T207776,2021,League Stage
MI,KKR,KKR,7 wickets,2021-09-23,T202680,2021,League Stage
SRH,DC,DC,8 wickets,2021-09-22,T204364,2021,League Stage
RR,PBKS,RR,2 runs,2021-09-21,T207857,2021,League Stage
RCB,KKR,KKR,9 wickets,2021-09-20,T204307,2021,League Stage
CSK,MI,CSK,20 runs,2021-09-19,T201256,2021,League Stage
PBKS,DC,DC,7 wickets,2021-05-02,T208407,2021,League Stage
RR,SRH,RR,55 runs,2021-05-02,T209103,2021,League Stage
CSK,MI,MI,4 wickets,2021-05-01,T203694,2021,League Stage
PBKS,RCB,PBKS,34 runs,2021-04-30,T208245,2021,League Stage
KKR,DC,DC,7 wickets,2021-04-29,T201595,2021,League Stage
RR,MI,MI,7 wickets,2021-04-29,T209461,2021,League Stage
SRH,CSK,CSK,7 wickets,2021-04-28,T205094,2021,League Stage
RCB,DC,RCB,1 run,2021-04-27,T208915,2021,League Stage
PBKS,KKR,KKR,5 wickets,2021-04-26,T209997,2021,League Stage
CSK,RCB,CSK,69 runs,2021-04-25,T202915,2021,League Stage
KKR,RR,RR,6 wickets,2021-04-24,T205585,2021,League Stage
MI,PBKS,PBKS,9 wickets,2021-04-23,T204808,2021,League Stage
RR,RCB,RCB,10 wickets,2021-04-22,T201545,2021,League Stage
CSK,KKR,CSK,18 runs,2021-04-21,T202233,2021,League Stage
PBKS,SRH,SRH,9 wickets,2021-04-21,T204912,2021,League Stage
MI,DC,DC,6 wickets,2021-04-20,T207273,2021,League Stage
CSK,RR,CSK,45 runs,2021-04-19,T209089,2021,League Stage
PBKS,DC,DC,6 wickets,2021-04-18,T209593,2021,League Stage
RCB,KKR,RCB,38 runs,2021-04-18,T202791,2021,League Stage
MI,SRH,MI,13 runs,2021-04-17,T201372,2021,League Stage
PBKS,CSK,CSK,6 wickets,2021-04-16,T205292,2021,League Stage
DC,RR,RR,3 wickets,2021-04-15,T203570,2021,League Stage
RCB,SRH,RCB,6 runs,2021-04-14,T202204,2021,League Stage
MI,KKR,MI,10 runs,2021-04-13,T209194,2021,League Stage
PBKS,RR,PBKS,4 runs,2021-04-12,T207896,2021,League Stage
KKR,SRH,KKR,10 runs,2021-04-11,T209178,2021,League Stage
CSK,DC,DC,7 wickets,2021-04-10,T206363,2021,League Stage
MI,RCB,RCB,2 wickets,2021-04-09,T203784,2021,League Stage
RR,GT,GT,7 wickets,2022-05-29,T202715,2022,Final
RCB,RR,RR,7 wickets,2022-05-27,T201109,2022,PlayOffs
RCB,LSG,RCB,14 runs,2022-05-25,T207136,2022,PlayOffs
RR,GT,GT,7 wickets,2022-05-24,T203302,2022,PlayOffs
SRH,PBKS,PBKS,5 wickets,2022-05-22,T204029,2022,League Stage
DC,MI,MI,5 wickets,2022-05-21,T205729,2022,League Stage
CSK,RR,RR,5 wickets,2022-05-20,T203588,2022,League Stage
GT,RCB,RCB,8 wickets,2022-05-19,T201867,2022,League Stage
LSG,KKR,LSG,2 runs,2022-05-18,T202863,2022,League Stage
SRH,MI,SRH,3 runs,2022-05-17,T206060,2022,League Stage
DC,PBKS,DC,17 runs,2022-05-16,T209295,2022,League Stage
RR,LSG,RR,24 runs,2022-05-15,T204939,2022,League Stage
CSK,GT,GT,7 wickets,2022-05-15,T204140,2022,League Stage
KKR,SRH,KKR,54 runs,2022-05-14,T209676,2022,League Stage
PBKS,RCB,PBKS,54 runs,2022-05-13,T203332,2022,League Stage
CSK,MI,MI,5 wickets,2022-05-12,T203878,2022,League Stage
RR,DC,DC,8 wickets,2022-05-11,T201826,2022,League Stage
GT,LSG,GT,62 runs,2022-05-10,T207400,2022,League Stage
KKR,MI,KKR,52 runs,2022-05-09,T203087,2022,League Stage
CSK,DC,CSK,91 runs,2022-05-08,T205352,2022,League Stage
RCB,SRH,RCB,67 runs,2022-05-08,T207464,2022,League Stage
LSG,KKR,LSG,75 runs,2022-05-07,T204710,2022,League Stage
PBKS,RR,RR,6 wickets,2022-05-07,T201231,2022,League Stage
MI,GT,MI,5 runs,2022-05-06,T201720,2022,League Stage
DC,SRH,DC,21 runs,2022-05-05,T201248,2022,League Stage
RCB,CSK,RCB,13 runs,2022-05-04,T207511,2022,League Stage
GT,PBKS,PBKS,8 wickets,2022-05-03,T209502,2022,League Stage
